dist_front,dist_left,dist_right,speed,action
63.9,2.5,27.5,22.3,2
73.6,67.7,89.2,8.7,0
42.2,3.0,21.9,50.5,2
2.7,19.9,65.0,54.5,3
22.0,58.9,80.9,0.6,2
80.6,69.8,34.0,15.5,0
95.7,33.7,9.3,9.7,1
84.7,60.4,80.7,73.0,0
53.6,97.3,37.9,55.2,0
82.9,61.9,86.2,57.7,0
70.5,4.6,22.8,28.9,2
8.0,23.3,10.1,27.8,3
63.6,36.5,37.0,21.0,0
26.7,93.7,64.8,60.9,1
17.1,72.9,16.3,37.9,1
99.0,64.0,55.7,68.5,0
84.3,77.6,22.9,3.2,0
31.5,26.8,21.1,94.3,2
31.5,65.5,39.6,91.5,1
14.3,14.0,74.5,53.9,3
74.7,42.8,58.4,36.2,0
99.7,13.8,49.4,75.6,2
86.1,15.3,16.0,68.0,0
59.6,38.5,59.6,46.8,0
25.1,55.3,94.2,68.0,2
11.5,88.5,75.1,76.9,3
34.0,29.4,15.8,0.3,2
87.6,26.3,50.1,17.9,0
91.3,87.1,29.8,63.9,0
60.9,15.3,76.3,53.9,0
77.9,53.0,0.1,32.4,1
1.9,92.9,87.9,83.2,3
30.8,5.8,87.8,94.7,2
8.6,48.6,6.9,76.1,3
76.6,12.8,47.5,55.0,2
26.5,87.2,42.3,21.2,1
53.9,73.0,20.1,31.2,0
99.5,65.0,43.8,51.8,0
12.1,22.5,33.8,58.8,3
23.0,22.0,7.1,63.1,1
22.9,90.5,86.0,7.1,1
23.8,66.9,21.4,13.2,1
93.6,57.1,47.3,78.5,0
80.7,19.0,9.7,43.1,1
42.4,46.7,72.9,67.3,2
9.8,40.3,33.9,86.2,3
24.9,19.0,44.9,42.2,2
27.9,25.0,92.3,44.3,2
86.1,55.0,5.1,99.9,1
83.6,96.9,92.6,84.9,0
16.6,48.6,21.4,40.1,1
5.9,37.9,98.5,26.5,3
78.4,45.5,42.3,95.7,0
99.5,55.6,71.8,15.5,0
29.7,96.9,57.9,54.2,1
74.8,5.7,58.4,50.3,2
85.3,15.7,96.1,8.0,0
18.6,59.5,67.5,23.5,2
12.0,89.0,24.6,59.5,3
61.9,41.9,58.4,52.3,0
